/bin/bash: /Users/danielstevenrodriguezsandoval/Desktop/trabajo bogota 2026/poly-agent/scripts/daily_validation.sh: Operation not permitted
=== Wed Mar  4 07:06:35 -05 2026 Daily Validation Run ===
Running Manifold paper trading...
2026-03-04 07:08:40,423 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/5suScUQ9Py "HTTP/1.1 200 OK"
2026-03-04 07:08:42,505 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/QSORS6npnp "HTTP/1.1 200 OK"
2026-03-04 07:08:42,884 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/AUdIqgAspc "HTTP/1.1 200 OK"
2026-03-04 07:08:44,967 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-04 07:08:45,064 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-04 07:08:45,271 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-04 07:08:45,436 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-04 07:08:45,612 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-04 07:08:45,775 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-04 07:08:50,865 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-04 07:08:50,939 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-04 07:08:51,036 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-04 07:08:51,475 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-04 07:08:51,678 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/26sn2AIUgs "HTTP/1.1 200 OK"
2026-03-04 07:08:51,867 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/PLS9ZCLzth "HTTP/1.1 200 OK"
2026-03-04 07:08:52,027 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/nLRun2NyU8 "HTTP/1.1 200 OK"
2026-03-04 07:08:52,174 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/AZ0IIQ9c2q "HTTP/1.1 200 OK"
2026-03-04 07:08:52,175 | INFO | watchdog.scripts.run_paper_trading | paper_summary markets_checked=79 signals_generated=0 bets_placed=0 exits=0 running_pnl_estimate=-54.0619
2026-03-04 07:09:52,580 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/markets?limit=80 "HTTP/1.1 200 OK"
2026-03-04 07:09:52,797 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/p0OU6QRQQZ "HTTP/1.1 200 OK"
2026-03-04 07:09:52,963 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/OuIP6sSsU2 "HTTP/1.1 200 OK"
2026-03-04 07:09:53,118 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/8glsQsnESN "HTTP/1.1 200 OK"
2026-03-04 07:09:53,293 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/LcS9uqcR6N "HTTP/1.1 200 OK"
2026-03-04 07:09:53,452 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/SugQ522Uh6 "HTTP/1.1 200 OK"
2026-03-04 07:09:53,623 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/8OSSSuSOSU "HTTP/1.1 200 OK"
2026-03-04 07:09:53,795 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/nQQU9OOlIO "HTTP/1.1 200 OK"
2026-03-04 07:09:53,962 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/uIcQIRhOtU "HTTP/1.1 200 OK"
2026-03-04 07:09:54,132 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/dS8uLdlCRL "HTTP/1.1 200 OK"
2026-03-04 07:09:54,323 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/8N6sNR8R6I "HTTP/1.1 200 OK"
2026-03-04 07:09:54,741 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/5suScUQ9Py "HTTP/1.1 200 OK"
