trade_id,date,strategy,position_size,pnl,running_balance
1,2026-03-01,calibration,10.0,8.6661,108.6661
7,2026-03-09,calibration,10.8666,0.0,108.6661
8,2026-03-09,calibration,10.8666,0.0,108.6661
9,2026-03-09,calibration,10.8666,0.0,108.6661
10,2026-03-09,calibration,10.8666,0.0,108.6661
11,2026-03-09,calibration,10.8666,0.0,108.6661
12,2026-03-09,calibration,10.8666,0.0,108.6661
13,2026-03-09,calibration,10.8666,0.0,108.6661
14,2026-03-09,calibration,10.8666,0.0,108.6661
15,2026-03-09,calibration,10.8666,0.0,108.6661
16,2026-03-09,calibration,10.8666,0.0,108.6661
17,2026-03-09,calibration,10.8666,0.0,108.6661
18,2026-03-09,calibration,10.8666,0.0,108.6661
19,2026-03-09,calibration,10.8666,0.0,108.6661
20,2026-03-09,calibration,10.8666,0.0,108.6661
21,2026-03-09,calibration,10.8666,0.0,108.6661
22,2026-03-09,calibration,10.8666,0.0,108.6661
23,2026-03-09,calibration,10.8666,0.0,108.6661
24,2026-03-09,calibration,10.8666,0.0,108.6661
25,2026-03-09,calibration,10.8666,0.0,108.6661
26,2026-03-09,calibration,10.8666,0.0,108.6661
33,2026-03-09,calibration,10.8666,0.0,108.6661
34,2026-03-09,calibration,10.8666,0.0,108.6661
35,2026-03-09,calibration,10.8666,0.0,108.6661
36,2026-03-09,calibration,10.8666,0.0,108.6661
38,2026-03-09,calibration,10.8666,0.0,108.6661
40,2026-03-09,calibration,10.8666,0.0,108.6661
44,2026-03-09,calibration,10.8666,0.0,108.6661
46,2026-03-09,calibration,10.8666,0.0,108.6661
48,2026-03-09,calibration,10.8666,0.0,108.6661
53,2026-03-09,calibration,10.8666,0.0,108.6661
54,2026-03-09,calibration,10.8666,0.0,108.6661
55,2026-03-09,calibration,10.8666,0.0,108.6661
56,2026-03-09,calibration,10.8666,0.0,108.6661
57,2026-03-09,calibration,10.8666,0.0,108.6661
58,2026-03-09,calibration,10.8666,0.0,108.6661
60,2026-03-09,calibration,10.8666,0.0,108.6661
64,2026-03-09,calibration,10.8666,0.0,108.6661
66,2026-03-09,calibration,10.8666,0.0,108.6661
67,2026-03-09,calibration,10.8666,0.0,108.6661
68,2026-03-09,calibration,10.8666,0.0,108.6661
70,2026-03-09,calibration,10.8666,0.0,108.6661
71,2026-03-09,calibration,10.8666,0.0,108.6661
72,2026-03-09,calibration,10.8666,0.0,108.6661
73,2026-03-09,calibration,10.8666,0.0,108.6661
74,2026-03-09,calibration,10.8666,0.0,108.6661
76,2026-03-09,calibration,10.8666,0.0,108.6661
77,2026-03-09,calibration,10.8666,0.0,108.6661
80,2026-03-09,calibration,10.8666,0.0,108.6661
81,2026-03-09,calibration,10.8666,0.0,108.6661
82,2026-03-09,calibration,10.8666,0.0,108.6661
86,2026-03-09,calibration,10.8666,0.0,108.6661
87,2026-03-09,calibration,10.8666,0.0,108.6661
88,2026-03-09,calibration,10.8666,0.0,108.6661
90,2026-03-09,calibration,10.8666,0.0,108.6661
92,2026-03-09,calibration,10.8666,0.0,108.6661
93,2026-03-09,calibration,10.8666,0.0,108.6661
97,2026-03-09,calibration,10.8666,0.0,108.6661
98,2026-03-09,calibration,10.8666,0.0,108.6661
99,2026-03-09,calibration,10.8666,0.0,108.6661
100,2026-03-09,calibration,10.8666,0.0,108.6661
104,2026-03-09,calibration,10.8666,0.0,108.6661
106,2026-03-09,calibration,10.8666,0.0,108.6661
107,2026-03-09,calibration,10.8666,0.0,108.6661
108,2026-03-09,calibration,10.8666,0.0,108.6661
109,2026-03-09,calibration,10.8666,0.0,108.6661
110,2026-03-09,calibration,10.8666,0.0,108.6661
111,2026-03-09,calibration,10.8666,0.0,108.6661
112,2026-03-09,calibration,10.8666,0.0,108.6661
113,2026-03-08,calibration,10.8666,7.7529,116.4189
114,2026-03-09,calibration,11.6419,0.0,116.4189
115,2026-03-09,calibration,11.6419,0.0,116.4189
116,2026-03-09,calibration,11.6419,0.0,116.4189
117,2026-03-08,calibration,11.6419,-4.0831,112.3359
118,2026-03-09,calibration,11.2336,0.0,112.3359
119,2026-03-08,calibration,11.2336,-9.851,102.4849
120,2026-03-09,calibration,10.2485,0.0,102.4849
121,2026-03-09,calibration,10.2485,0.0,102.4849
122,2026-03-09,calibration,10.2485,0.0,102.4849
123,2026-03-09,calibration,10.2485,0.0,102.4849
124,2026-03-09,calibration,10.2485,0.0,102.4849
125,2026-03-08,calibration,10.2485,0.4978,102.9826
127,2026-03-09,calibration,10.2983,0.0,102.9826
130,2026-03-09,calibration,10.2983,0.0,102.9826
132,2026-03-09,calibration,10.2983,0.0,102.9826
133,2026-03-09,calibration,10.2983,0.0,102.9826
136,2026-03-09,calibration,10.2983,0.0,102.9826
137,2026-03-09,calibration,10.2983,0.0,102.9826
138,2026-03-09,calibration,10.2983,0.0,102.9826
139,2026-03-09,calibration,10.2983,0.0,102.9826
140,2026-03-09,calibration,10.2983,0.0,102.9826
142,2026-03-09,calibration,10.2983,0.0,102.9826
143,2026-03-09,calibration,10.2983,0.0,102.9826
144,2026-03-09,calibration,10.2983,0.0,102.9826
145,2026-03-09,calibration,10.2983,0.0,102.9826
146,2026-03-09,calibration,10.2983,0.0,102.9826
147,2026-03-09,calibration,10.2983,0.0,102.9826
148,2026-03-09,calibration,10.2983,0.0,102.9826
149,2026-03-09,calibration,10.2983,0.0,102.9826
150,2026-03-09,calibration,10.2983,0.0,102.9826
151,2026-03-08,calibration,10.2983,0.0103,102.9929
152,2026-03-09,calibration,10.2993,0.0,102.9929
153,2026-03-09,calibration,10.2993,0.0,102.9929
154,2026-03-09,calibration,10.2993,0.0,102.9929
155,2026-03-09,calibration,10.2993,0.0,102.9929
156,2026-03-09,calibration,10.2993,0.0,102.9929
157,2026-03-09,calibration,10.2993,0.0,102.9929
158,2026-03-09,calibration,10.2993,0.0,102.9929
159,2026-03-09,calibration,10.2993,0.0,102.9929
160,2026-03-09,calibration,10.2993,0.0,102.9929
161,2026-03-09,calibration,10.2993,0.0,102.9929
164,2026-03-09,calibration,10.2993,0.0,102.9929
165,2026-03-09,calibration,10.2993,0.0,102.9929
168,2026-03-09,calibration,10.2993,0.0,102.9929
169,2026-03-09,calibration,10.2993,0.0,102.9929
170,2026-03-09,calibration,10.2993,0.0,102.9929
172,2026-03-09,calibration,10.2993,0.0,102.9929
173,2026-03-09,calibration,10.2993,0.0,102.9929
174,2026-03-09,calibration,10.2993,0.0,102.9929
175,2026-03-09,calibration,10.2993,0.0,102.9929
176,2026-03-09,calibration,10.2993,0.0,102.9929
177,2026-03-09,calibration,10.2993,0.0,102.9929
178,2026-03-09,calibration,10.2993,0.0,102.9929
179,2026-03-09,calibration,10.2993,0.0,102.9929
180,2026-03-09,calibration,10.2993,0.0,102.9929
181,2026-03-09,calibration,10.2993,0.0,102.9929
182,2026-03-09,calibration,10.2993,0.0,102.9929
183,2026-03-09,calibration,10.2993,0.0,102.9929
184,2026-03-09,calibration,10.2993,0.0,102.9929
185,2026-03-09,calibration,10.2993,0.0,102.9929
186,2026-03-09,calibration,10.2993,0.0,102.9929
187,2026-03-09,calibration,10.2993,0.0,102.9929
188,2026-03-09,calibration,10.2993,0.0,102.9929
189,2026-03-09,calibration,10.2993,0.0,102.9929
190,2026-03-09,calibration,10.2993,13.5663,116.5592
236,2026-03-09,calibration,11.6559,15.3532,131.9124
191,2026-03-09,calibration,13.1912,0.0,131.9124
192,2026-03-09,calibration,13.1912,0.0,131.9124
193,2026-03-09,calibration,13.1912,0.0,131.9124
194,2026-03-09,calibration,13.1912,0.0,131.9124
195,2026-03-09,calibration,13.1912,0.0,131.9124
196,2026-03-09,calibration,13.1912,0.0,131.9124
197,2026-03-09,calibration,13.1912,0.0,131.9124
198,2026-03-09,calibration,13.1912,0.0,131.9124
199,2026-03-09,calibration,13.1912,0.0,131.9124
200,2026-03-09,calibration,13.1912,0.0,131.9124
201,2026-03-09,calibration,13.1912,0.0,131.9124
202,2026-03-09,calibration,13.1912,0.0,131.9124
203,2026-03-09,calibration,13.1912,0.0,131.9124
204,2026-03-09,calibration,13.1912,0.0,131.9124
205,2026-03-09,calibration,13.1912,0.0,131.9124
206,2026-03-09,calibration,13.1912,0.0,131.9124
207,2026-03-09,calibration,13.1912,0.0,131.9124
208,2026-03-09,calibration,13.1912,0.0,131.9124
209,2026-03-09,calibration,13.1912,0.0,131.9124
210,2026-03-09,calibration,13.1912,0.0,131.9124
211,2026-03-09,calibration,13.1912,0.0,131.9124
212,2026-03-09,calibration,13.1912,0.0,131.9124
213,2026-03-09,calibration,13.1912,0.0,131.9124
214,2026-03-09,calibration,13.1912,0.0,131.9124
215,2026-03-09,calibration,13.1912,0.0,131.9124
216,2026-03-09,calibration,13.1912,0.0,131.9124
217,2026-03-09,calibration,13.1912,0.0,131.9124
218,2026-03-09,calibration,13.1912,0.0,131.9124
219,2026-03-09,calibration,13.1912,0.0,131.9124
220,2026-03-09,calibration,13.1912,0.0,131.9124
221,2026-03-09,calibration,13.1912,0.0,131.9124
222,2026-03-09,calibration,13.1912,0.0,131.9124
223,2026-03-09,calibration,13.1912,0.0,131.9124
224,2026-03-09,calibration,13.1912,0.0,131.9124
225,2026-03-09,calibration,13.1912,0.0,131.9124
226,2026-03-09,calibration,13.1912,0.0,131.9124
227,2026-03-09,calibration,13.1912,0.0,131.9124
228,2026-03-09,calibration,13.1912,0.0,131.9124
229,2026-03-09,calibration,13.1912,0.0,131.9124
230,2026-03-09,calibration,13.1912,0.0,131.9124
231,2026-03-09,calibration,13.1912,0.0,131.9124
232,2026-03-09,calibration,13.1912,0.0,131.9124
233,2026-03-09,calibration,13.1912,0.0,131.9124
234,2026-03-09,calibration,13.1912,0.0,131.9124
235,2026-03-09,calibration,13.1912,0.0,131.9124
237,2026-03-09,calibration,13.1912,0.0,131.9124
238,2026-03-09,calibration,13.1912,0.0,131.9124
239,2026-03-09,calibration,13.1912,0.0,131.9124
240,2026-03-09,calibration,13.1912,0.0,131.9124
241,2026-03-09,calibration,13.1912,0.0,131.9124
242,2026-03-09,calibration,13.1912,0.0,131.9124
243,2026-03-09,calibration,13.1912,0.0,131.9124
244,2026-03-09,calibration,13.1912,0.0,131.9124
245,2026-03-09,calibration,13.1912,0.0,131.9124
246,2026-03-09,calibration,26.3825,0.0,131.9124
247,2026-03-09,calibration,26.3825,0.0,131.9124
248,2026-03-09,calibration,26.3825,0.0,131.9124
249,2026-03-09,calibration,26.3825,0.0,131.9124
250,2026-03-09,calibration,26.3825,0.0,131.9124
251,2026-03-09,calibration,26.3825,0.0,131.9124
252,2026-03-09,calibration,26.3825,0.0,131.9124
253,2026-03-09,calibration,26.3825,0.0,131.9124
254,2026-03-09,calibration,26.3825,0.0,131.9124
255,2026-03-09,calibration,26.3825,0.0,131.9124
256,2026-03-09,calibration,26.3825,0.0,131.9124
257,2026-03-09,calibration,26.3825,0.0,131.9124
258,2026-03-09,calibration,26.3825,0.0,131.9124
259,2026-03-09,calibration,26.3825,0.0,131.9124
260,2026-03-09,calibration,26.3825,0.0,131.9124
261,2026-03-09,calibration,26.3825,0.0,131.9124
262,2026-03-09,calibration,26.3825,0.0,131.9124
263,2026-03-09,calibration,26.3825,0.0,131.9124
264,2026-03-09,calibration,26.3825,0.0,131.9124
265,2026-03-09,calibration,26.3825,0.0,131.9124
266,2026-03-09,calibration,26.3825,0.0,131.9124
267,2026-03-09,calibration,26.3825,0.0,131.9124
268,2026-03-09,calibration,26.3825,0.0,131.9124
269,2026-03-09,calibration,26.3825,0.0,131.9124
270,2026-03-09,calibration,26.3825,0.0,131.9124
271,2026-03-09,calibration,26.3825,0.0,131.9124
272,2026-03-09,calibration,26.3825,0.0,131.9124
273,2026-03-09,calibration,26.3825,0.0,131.9124
274,2026-03-09,calibration,26.3825,0.0,131.9124
275,2026-03-09,calibration,26.3825,0.0,131.9124
276,2026-03-09,calibration,26.3825,0.0,131.9124
277,2026-03-09,calibration,26.3825,0.0,131.9124
278,2026-03-09,calibration,26.3825,0.0,131.9124
279,2026-03-09,calibration,26.3825,0.0,131.9124
280,2026-03-09,calibration,26.3825,0.0,131.9124
281,2026-03-09,calibration,26.3825,0.0,131.9124
282,2026-03-09,calibration,26.3825,0.0,131.9124
283,2026-03-09,calibration,26.3825,0.0,131.9124
284,2026-03-09,calibration,26.3825,0.0,131.9124
285,2026-03-09,calibration,26.3825,0.0,131.9124
286,2026-03-09,calibration,26.3825,0.0,131.9124
287,2026-03-09,calibration,26.3825,0.0,131.9124
288,2026-03-09,calibration,26.3825,0.0,131.9124
289,2026-03-09,calibration,26.3825,0.0,131.9124
290,2026-03-09,calibration,26.3825,0.0,131.9124
291,2026-03-09,calibration,26.3825,0.0,131.9124
292,2026-03-09,calibration,26.3825,0.0,131.9124
293,2026-03-09,calibration,26.3825,0.0,131.9124
294,2026-03-09,calibration,26.3825,0.0,131.9124
295,2026-03-09,calibration,26.3825,0.0,131.9124
296,2026-03-09,calibration,26.3825,0.0,131.9124
297,2026-03-09,calibration,26.3825,0.0,131.9124
298,2026-03-09,calibration,26.3825,0.0,131.9124
299,2026-03-09,calibration,26.3825,0.0,131.9124
300,2026-03-09,calibration,26.3825,0.0,131.9124
301,2026-03-09,calibration,26.3825,0.0,131.9124
302,2026-03-09,calibration,26.3825,0.0,131.9124
303,2026-03-09,calibration,26.3825,0.0,131.9124
304,2026-03-09,calibration,26.3825,0.0,131.9124
305,2026-03-09,calibration,26.3825,0.0,131.9124
306,2026-03-09,calibration,26.3825,0.0,131.9124
307,2026-03-09,calibration,26.3825,0.0,131.9124
308,2026-03-09,calibration,26.3825,0.0,131.9124
309,2026-03-09,calibration,26.3825,0.0,131.9124
310,2026-03-09,calibration,26.3825,0.0,131.9124
311,2026-03-09,calibration,26.3825,0.0,131.9124
312,2026-03-09,calibration,26.3825,0.0,131.9124
313,2026-03-09,calibration,26.3825,0.0,131.9124
314,2026-03-09,calibration,26.3825,0.0,131.9124
315,2026-03-09,calibration,26.3825,0.0,131.9124
316,2026-03-09,calibration,26.3825,0.0,131.9124
317,2026-03-09,calibration,26.3825,0.0,131.9124
318,2026-03-09,calibration,26.3825,0.0,131.9124
319,2026-03-09,calibration,26.3825,0.0,131.9124
320,2026-03-09,calibration,26.3825,0.0,131.9124
321,2026-03-09,calibration,26.3825,0.0,131.9124
322,2026-03-09,calibration,26.3825,0.0,131.9124
323,2026-03-09,calibration,26.3825,0.0,131.9124
324,2026-03-09,calibration,26.3825,0.0,131.9124
325,2026-03-09,calibration,26.3825,0.0,131.9124
326,2026-03-09,calibration,26.3825,0.0,131.9124
327,2026-03-09,calibration,26.3825,0.0,131.9124
328,2026-03-09,calibration,26.3825,0.0,131.9124
329,2026-03-09,calibration,26.3825,0.0,131.9124
330,2026-03-09,calibration,26.3825,0.0,131.9124
331,2026-03-09,calibration,26.3825,0.0,131.9124
332,2026-03-09,calibration,26.3825,0.0,131.9124
333,2026-03-09,calibration,26.3825,0.0,131.9124
334,2026-03-09,calibration,26.3825,0.0,131.9124
335,2026-03-09,calibration,26.3825,0.0,131.9124
336,2026-03-09,calibration,26.3825,0.0,131.9124
337,2026-03-09,calibration,26.3825,0.0,131.9124
338,2026-03-09,calibration,26.3825,0.0,131.9124
339,2026-03-09,calibration,26.3825,0.0,131.9124
340,2026-03-09,calibration,26.3825,0.0,131.9124
341,2026-03-09,calibration,26.3825,0.0,131.9124
342,2026-03-09,calibration,26.3825,0.0,131.9124
343,2026-03-09,calibration,26.3825,0.0,131.9124
344,2026-03-09,calibration,26.3825,0.0,131.9124
345,2026-03-09,calibration,26.3825,0.0,131.9124
346,2026-03-09,calibration,26.3825,0.0,131.9124
347,2026-03-09,calibration,26.3825,0.0,131.9124
348,2026-03-09,calibration,26.3825,0.0,131.9124
349,2026-03-09,calibration,26.3825,0.0,131.9124
350,2026-03-09,calibration,26.3825,0.0,131.9124
351,2026-03-09,calibration,26.3825,0.0,131.9124
352,2026-03-09,calibration,26.3825,0.0,131.9124
353,2026-03-09,calibration,26.3825,0.0,131.9124
354,2026-03-09,calibration,26.3825,0.0,131.9124
355,2026-03-09,calibration,26.3825,0.0,131.9124
356,2026-03-09,calibration,26.3825,0.0,131.9124
357,2026-03-09,calibration,26.3825,0.0,131.9124
358,2026-03-09,calibration,26.3825,0.0,131.9124
359,2026-03-09,calibration,26.3825,0.0,131.9124
360,2026-03-09,calibration,26.3825,0.0,131.9124
361,2026-03-09,calibration,26.3825,0.0,131.9124
362,2026-03-09,calibration,26.3825,0.0,131.9124
363,2026-03-09,calibration,26.3825,0.0,131.9124
364,2026-03-09,calibration,26.3825,0.0,131.9124
365,2026-03-09,calibration,26.3825,0.0,131.9124
366,2026-03-09,calibration,26.3825,0.0,131.9124
367,2026-03-09,calibration,26.3825,0.0,131.9124
368,2026-03-09,calibration,26.3825,0.0,131.9124
369,2026-03-09,calibration,26.3825,0.0,131.9124
370,2026-03-10,calibration,26.3825,0.0,131.9124
371,2026-03-11,calibration,26.3825,0.0,131.9124
372,2026-03-10,calibration,26.3825,0.0,131.9124
373,2026-03-10,calibration,26.3825,0.0,131.9124
374,2026-03-10,calibration,26.3825,0.0,131.9124
375,2026-03-10,calibration,26.3825,26.3719,158.2844
376,2026-03-10,calibration,31.6569,31.6442,189.9286
377,2026-03-10,calibration,37.9857,36.9297,226.8583
378,2026-03-10,calibration,45.3717,36.2809,263.1392
379,2026-03-10,calibration,52.6278,42.0832,305.2224
380,2026-03-10,calibration,27.8555,7.3715,312.5939
385,2026-03-10,calibration,28.5283,7.5496,320.1435
381,2026-03-11,calibration,64.0287,19.0774,339.2209
387,2026-03-11,calibration,67.8442,20.2142,359.4352
382,2026-03-12,calibration,71.887,37.0343,396.4694
394,2026-03-11,calibration,79.2939,40.8501,437.3195
383,2026-03-11,calibration,87.4639,39.8578,477.1773
384,2026-03-10,calibration,95.4355,12.4689,489.6462
386,2026-03-13,calibration,97.9292,0.0,489.6462
388,2026-03-11,calibration,97.9292,-24.4823,465.1639
390,2026-03-11,calibration,93.0328,-39.2432,425.9207
391,2026-03-13,calibration,85.1841,0.0,425.9207
392,2026-03-13,calibration,85.1841,0.0,425.9207
393,2026-03-11,calibration,85.1841,-23.7983,402.1224
395,2026-03-13,calibration,80.4245,2.2931,404.4155
396,2026-03-14,calibration,80.8831,-9.3533,395.0622
397,2026-03-13,calibration,30.3822,9.5177,404.5799
398,2026-03-13,calibration,31.1141,14.1693,418.7491
399,2026-03-13,calibration,83.7498,61.5008,480.2499
400,2026-03-13,calibration,96.05,122.7418,602.9917
401,2026-03-13,calibration,120.5983,-9.2264,593.7652
403,2026-03-13,calibration,118.753,21.527,615.2923
776,2026-03-14,calibration,123.0585,-16.6687,598.6236
777,2026-03-14,calibration,119.7247,17.1079,615.7314
778,2026-03-14,calibration,123.1463,43.4641,659.1956
779,2026-03-14,calibration,131.8391,103.9239,763.1195
