trade_id,date,strategy,position_size,pnl,running_balance
156,2026-03-09,calibration,51.4965,0.0,514.9647
157,2026-03-09,calibration,51.4965,0.0,514.9647
158,2026-03-09,calibration,51.4965,0.0,514.9647
159,2026-03-09,calibration,51.4965,0.0,514.9647
160,2026-03-09,calibration,51.4965,0.0,514.9647
161,2026-03-09,calibration,51.4965,0.0,514.9647
164,2026-03-09,calibration,51.4965,0.0,514.9647
165,2026-03-09,calibration,51.4965,0.0,514.9647
168,2026-03-09,calibration,51.4965,0.0,514.9647
169,2026-03-09,calibration,51.4965,0.0,514.9647
170,2026-03-09,calibration,51.4965,0.0,514.9647
172,2026-03-09,calibration,51.4965,0.0,514.9647
173,2026-03-09,calibration,51.4965,0.0,514.9647
174,2026-03-09,calibration,51.4965,0.0,514.9647
175,2026-03-09,calibration,51.4965,0.0,514.9647
176,2026-03-09,calibration,51.4965,0.0,514.9647
177,2026-03-09,calibration,51.4965,0.0,514.9647
178,2026-03-09,calibration,51.4965,0.0,514.9647
179,2026-03-09,calibration,51.4965,0.0,514.9647
180,2026-03-09,calibration,51.4965,0.0,514.9647
181,2026-03-09,calibration,51.4965,0.0,514.9647
182,2026-03-09,calibration,51.4965,0.0,514.9647
183,2026-03-09,calibration,51.4965,0.0,514.9647
184,2026-03-09,calibration,51.4965,0.0,514.9647
185,2026-03-09,calibration,51.4965,0.0,514.9647
186,2026-03-09,calibration,51.4965,0.0,514.9647
187,2026-03-09,calibration,51.4965,0.0,514.9647
188,2026-03-09,calibration,51.4965,0.0,514.9647
189,2026-03-09,calibration,51.4965,0.0,514.9647
190,2026-03-09,calibration,51.4965,67.8314,582.7961
236,2026-03-09,calibration,58.2796,76.7662,659.5622
191,2026-03-09,calibration,65.9562,0.0,659.5622
192,2026-03-09,calibration,65.9562,0.0,659.5622
193,2026-03-09,calibration,65.9562,0.0,659.5622
194,2026-03-09,calibration,65.9562,0.0,659.5622
195,2026-03-09,calibration,65.9562,0.0,659.5622
196,2026-03-09,calibration,65.9562,0.0,659.5622
197,2026-03-09,calibration,65.9562,0.0,659.5622
198,2026-03-09,calibration,65.9562,0.0,659.5622
199,2026-03-09,calibration,65.9562,0.0,659.5622
200,2026-03-09,calibration,65.9562,0.0,659.5622
201,2026-03-09,calibration,65.9562,0.0,659.5622
202,2026-03-09,calibration,65.9562,0.0,659.5622
203,2026-03-09,calibration,65.9562,0.0,659.5622
204,2026-03-09,calibration,65.9562,0.0,659.5622
205,2026-03-09,calibration,65.9562,0.0,659.5622
206,2026-03-09,calibration,65.9562,0.0,659.5622
207,2026-03-09,calibration,65.9562,0.0,659.5622
208,2026-03-09,calibration,65.9562,0.0,659.5622
209,2026-03-09,calibration,65.9562,0.0,659.5622
210,2026-03-09,calibration,65.9562,0.0,659.5622
211,2026-03-09,calibration,65.9562,0.0,659.5622
212,2026-03-09,calibration,65.9562,0.0,659.5622
213,2026-03-09,calibration,65.9562,0.0,659.5622
214,2026-03-09,calibration,65.9562,0.0,659.5622
215,2026-03-09,calibration,65.9562,0.0,659.5622
216,2026-03-09,calibration,65.9562,0.0,659.5622
217,2026-03-09,calibration,65.9562,0.0,659.5622
218,2026-03-09,calibration,65.9562,0.0,659.5622
219,2026-03-09,calibration,65.9562,0.0,659.5622
220,2026-03-09,calibration,65.9562,0.0,659.5622
221,2026-03-09,calibration,65.9562,0.0,659.5622
222,2026-03-09,calibration,65.9562,0.0,659.5622
223,2026-03-09,calibration,65.9562,0.0,659.5622
224,2026-03-09,calibration,65.9562,0.0,659.5622
225,2026-03-09,calibration,65.9562,0.0,659.5622
226,2026-03-09,calibration,65.9562,0.0,659.5622
227,2026-03-09,calibration,65.9562,0.0,659.5622
228,2026-03-09,calibration,65.9562,0.0,659.5622
229,2026-03-09,calibration,65.9562,0.0,659.5622
230,2026-03-09,calibration,65.9562,0.0,659.5622
231,2026-03-09,calibration,65.9562,0.0,659.5622
232,2026-03-09,calibration,65.9562,0.0,659.5622
233,2026-03-09,calibration,65.9562,0.0,659.5622
234,2026-03-09,calibration,65.9562,0.0,659.5622
